Authors,Title,Year,Abstract,Keywords
"Nguyen Q.K., Dang Q.V.",Blockchain Technology - Opportunities for Emerging Economies,2018,"The recent major scientific conferences on the Innovatube Frontier (IFS) have focused on four areas of pioneering technologies, including Artificial Intelligence, Internet of Things, Blockchain and Augmented Reality / Virtual Reality. Blockchain has gained a lot of attention, because not only it is the technology that has created the fever of the Bitcoin and Ethereum digital coins, but also because of its great potentials that can change the nature of the real world and in everyone's lives. There have been various studies on blockchain, however, in reality the percentage of people who understand blockchain remain minute. This paper will highlight the important role of blockchain technology in the development of our future world, especially for developing countries. © 2018 IEEE.",blockchain; digitaltechnology; distributed diary; industrial revolution 40
"Melnyk M., Korcelli-Olejniczak E., Chorna N., Popadynets N.",Development of regional IT clusters in Ukraine: Institutional and investment dimensions,2018,"Introduction. Accelerated introduction of modern IC technologies in all areas of the country’s social life, development of the digital economy and the national information infrastructure, integration to the global information space and improvement of information security conditions are the strategic objectives of the development of information society in Ukraine. Furthermore, recent years are characterised by active creation of new network organisation forms and cluster cooperation in the IT sphere based on joint endeavours of IT companies, scientific and educational establishments, NGOs and other actors. Organisation of clusters in the IT sphere contributes to not only the optimisation of economic processes management in the course of creation, introduction and use of information technologies and products and services of IT companies, but also to forming of powerful integrated groupings with high economic capacity, which is essential for the development of the national economy. Purpose. The paper aims to analyse both the institutional and investment environment, in which regional IT-clusters develop, in particular the features, tendencies and priorities of their functioning to assess the role of venture capital in the development of the IT sector in Ukraine and to define the strategic directions to improve the instruments of public policy relevant to the development IT clusters in forming of an innovation ecosystem. Methods. Fundamental provisions and principles of innovative development theories and concepts of clustering, economic convergence and integration, diffusion of innovations and place-based innovation systems constitute the methodological basis of the research. Structural-functional and factor analyses are applied in order to reveal major tendencies and preconditions of the development IT sector in Ukraine and to evaluate the impact of venture capital on its establishment and activation. A Multi-factor regression analysis is conducted to perform econometric modeling of the impact of institutional features peculiar to the impact of the entrepreneurship activity environment on the development of the IT sector and forming of its investment capacity in Ukraine. The measures to improve the mechanism to assist the development of IT clusters in forming of an innovation ecosystem are suggested as a result of using the system approach. Results. The authors of the article have elaborated suggestions relating to the improvement of the public IT sector development policy in Ukraine. The intensity of the impact of venture capital on the establishment and development of the IT sector in Ukraine is assessed. The dynamics of exports of Ukrainian IT outsourcing products is researched. It shows that IT outsourcing is one of the most dynamic and leading directions of the IT sector in Ukraine. The evaluation of the impact of entrepreneurship activity and institutional environment on the development of the sphere of information technologies and forming of its investment capacity (the system of venture investment) is conducted on the basis of a correlation and regression analysis. Conclusions. The conducted research has revealed the major preconditions of the development of regional IT clusters in Ukraine. Overall conditions of the development of information and telecommunication technologies, as well as the ecosystem and infrastructure, are the most influential development factors of the Ukrainian IT sector. A high number of qualified IT specialists and a competitive level of their remuneration are the major preconditions for the dynamic growth of the IT sector in Ukrainian regions. The imperfect business environment of Ukraine is the key obstacle for conducting legitimate business, which deteriorates economic security in general and negatively impacts the quality of functioning of the innovation ecosystem, in particular in the IT sector. It includes a complicated tax system and a high level of shadow economy and corruption. Perspective opportunities to boost the development of the high value product segment of the IT sector and the internal IT market directly depend on the business climate and conditions of the country’s business environment, as well as on the level of the development of the national innovation ecosystem and its functioning efficiency. © Institute of Society Transformation, 2018",Country’s Innovation Ecosystem; Development of IT Clusters; Information Technology; IT Cluster; IT Sector; Public Policy of IT Clusters Development; Venture Investment
"Reisman R., Bertini M.",A novel architecture to monetize digital offerings,2018,"As commerce continues to shift to the digital domain, organizations respond by improving and evolving their approach to creating value for customers. When the time comes to convert digital anything into cash they can bank, the same organizations, however, seem stuck in time. The purpose of the article is to highlight this inconsistency and, importantly, propose a solution. First, we leverage the literature on freemium and participative pricing mechanisms to lay the foundations for a revenue architecture fit for the digital economy. We argue in favor of three building blocks: empowerment, dialog, and reputation. Second, we describe FairPay as a promising configuration of these factors. © 2018, Macmillan Publishers Ltd., part of Springer Nature.",Digital goods; Electronic commerce; Price discrimination; Pricing; Revenue models
"Bertola P., Teunissen J.",Fashion 4.0. Innovating fashion industry through digital transformation,2018,"Purpose: The on-going transition of societies and economies toward different organizational paradigms deeply informed by digital technologies is at the very center of current debates, involving scholars and impacting on a broad context of disciplines, ranging from humanities to science and technology. Therefore, the so-called “Fourth Industrial Revolution” has been described as a model where new modes of production and consumption will dramatically transform all major industrial systems; it has been targeted by many governmental plans as a goal for a sustainable future. While general frameworks describing 4.0 paradigm are codified and accessible, implementation strategies and their implications on specific local and sectorial systems are largely unexplored. Starting from this assumption, this paper aims to provide insights on the current state of the art and major trends of the “Fourth Industrial Revolution”, possibly identifying its impacts on the textile and apparel industry. Design/methodology/approach: From a methodological standpoint, the study approaches the topic from the perspective of fashion domain experts which can contribute, with a positioning essay, to better understanding Industry 4.0 (I4.0) implementation within their specific domain. This experts’ perspective is enriched by several descriptive case studies (Yin, 1984) offering examples and insights on possible implementation of I4.0 solutions in fashion industry, also showing the potential of a design driven perspective. Findings: Starting from a synthesis of I4.0 framework and principles, the paper aims at showing their impacts on business units, processes and components within the specific context of the fashion industry. Through emerging evidences detected by experts’ domain perspective and exemplified by several descriptive cases, it offers a comprehensive overview of the potential implications of the Forth Industrial Revolution on this specific business. The picture drafted clearly shows how digital transformation, properly driven, could reshape the fashion industry into a more sustainable and truly customer-driven business. But, it also underlines criticalities and slowness of adoption by traditional established brands and companies. As a result, being focused on on-going phenomena, highly unexplored, it shows possible trajectories, enabling an effective transformation of textile and apparel industry embracing the I4.0 paradigm. Originality/value: The paper has a broad perspective and could offer insights to different audiences, which could effectively contribute to a positive transition, to scholars and academics, who might want to better address the implementation of I4.0 model into real economic and social context, focusing on medium – long-term implications and showing innovation pathways which are still unexplored, second to practitioners, who are usually immersed into strict silos of competences and business functions and can start to build new bridges and interconnection within the system, taking advantages of I4.0 potential, finally to policy-makers who can better shape development frameworks targeted to specific industries whose features require peculiar approaches and actions. © 2018, Emerald Publishing Limited.",Design driven companies; Digital transformation; Fashion business models; Fashion design processes; Fashion innovation; Industry 4.0
Moreno de la Santa J.G.-S.,The travel industry in 2018 – setting the scene for the future,2018,"Purpose: The purpose of the paper is to identify key challenges and opportunities for tourist destinations. Design/methodology/approach: The paper provides an analysis and discussion of travel and hospitality trends. Findings: The major travel and tourism trends are: the unstoppable digital transformation of the travel industry; the dominance of travel online for information and bookings; advancing complexity in traveller acquisition; and new tourism power is in the East. Practical implications: The paper clarifies a number of potential issues and problems and offers possible mitigating measures. Originality/value: Offers insights based on an expert reading of the present. © 2018, Emerald Publishing Limited.",China; Digital transformation; Global economy; Travel; Travel cycle
"Watanabe C., Naveed K., Tou Y., Neittaanmäki P.",Measuring GDP in the digital economy: Increasing dependence on uncaptured GDP,2018,"As revealed by Tapscott in his best-seller The Digital Economy published in 1994, the Internet has dramatically changed the way of conducting business and our daily lives. Further advancement of digital innovation, including cloud, mobile services, and artificial intelligence, has augmented this change significantly and provided us with extraordinary services and welfare never anticipated before. However, contrary to such an accomplishment, productivity in industrialized countries now confronts an apparent decline raising the question of a possible productivity paradox in the digital economy. The limitations of gross domestic product (GDP) statistics in measuring the advancement of the digital economy have become an important subject. While this mismatch is an old problem rooted in the dynamics of product innovations, since mismatch brought about by information and communication technology (ICT) is very strong, finding a solution to this critical issue has become highly crucial in the digital economy. Based on an intensive review of preceding studies and empirical analyses of national, industrial and individual behaviors in the digital economy, this paper attempted to draw a perspective on this critical issue. By means of an analysis of co-evolution among a shift in people's preferences from economic functionality to supra-functionality beyond economic value, the advancement of ICT and paradigm change to uncaptured GDP, a solution to this critical issue was investigated. New insights for measuring the digital economy were explored which provide insight into integration of national accounts with product-oriented micro-analysis efforts. © 2018 Elsevier Inc.",Digital economy; Mismatch; people's preference shift; Productivity decline; Uncaptured GDP
"Milošević N., Dobrota M., Rakočević S.B.",Digital economy in Europe: Evaluation of countries’ performances [Digitalna ekonomija u Europi: procjena performansi zemalja],2018,"The accelerated expansion of the Internet as a communication tool, the mobile internet, and the social networks and commercial platforms, commonly observed as digitalisation, have greatly affected the functioning of the economy and with it also businesses, public institutions, and individuals. The state of the digitalisation of business and industry varies between the European Union (EU) countries and regions. Each economy struggles to keep up with digitalisation in order to keep their productivity and achievement on a high level. Using the Composite I-distance Indicator (CIDI) methodology, we have created a multivariate indicator that can serve as a measurement of digital economy performances. Furthermore, we evaluate and rank 28 countries in EU (EU-28), based on their digital performances. We made an in-depth comparative analysis of countries in Europe, providing information about each economy with information on where they currently stand in terms of digital economy and what steps they need to undertake to improve and boost up their position in the domain of digitalisation. © 2018, UNIVRIJEKA. All rights reserved.",CIDI; Digital economy; EU countries; Evaluation of countries; Ranking
Hanna N.,A role for the state in the digital age,2018,"Past and potential contributions of the state to innovation and the creation of the digital economy need to be understood now, more than ever. The state is under attack, and its role in innovation and technological transformation is being increasingly challenged and dismantled in many countries. This article takes an alternative view of state role in the digital age, one that is supported by historical evidence. The article examines the increasing demand for an entrepreneurial state and draws on lessons from pioneering countries. It shows the variety of roles and strategies that the state can play in creating the digital economy. These roles include nurturing a national digital transformation ecosystem and building an innovative and inclusive digital economy. These roles call for new state capabilities to fit with the demands of the digital age. This is a call for strategic learning and partnership, not for dirigisme and protectionism. The paper proposes an agenda for learning to master digital transformation and suggests that the appropriate role of the state must evolve in sync with a learning economy and society. © 2018, The Author(s).",Digital economy; Digital entrepreneurship; Digital innovation; Digital transformation; State role
Imamov M.M.,Digital threats in the transition of the russian economy to the innovative path of development,2018,"Modern information technologies are among the most effective channels for implementing the complex impact of the globalization process. Therefore, the issue of studying the security of innovative development of the national economy at the digital level is relevant. The aim of the research is to analyze the readiness of the Russian Federation to integrate into the digital space in all spheres of life, as well as to identify digital threats during the transition of the Russian economy to an innovative development path and to find solutions to prevent threats and risks of cybercrime. In the research process, the key was the analysis method, which allowed to achieve the purpose by deeply studying the outlined issue. The authors reviewed the program for introducing our country into the digital space ‘Digital Economy of Russia’, approved by the Government of the Russian Federation on July 28, 2017 and identified the advantages and disadvantages of this program. Furthermore, the authors give a detailed description of the concept of ‘cybercrime’ and its types, and determine how to deal with threats in the digital space. It was concluded that the implementation of measures aimed at creating an infrastructure for the innovative development of the economy and ensuring economic security for the implementation of priority national projects will create the necessary prerequisites for the implementation of national policy aimed at modernizing the country, Russian Federation gaining a leading position in the global economy, and restoration of world power status and ensuring sustainable development of the country in the socio-economic field. © 2018, by ASERS® Publishing. All rights reserved.",Cybercrime; Globalization process; Integration into cyberspace
Ozili P.K.,Impact of digital finance on financial inclusion and stability,2018,"This article provides a discussion on some issues associated with digital finance – an area which has not been critically addressed in the literature. Digital finance and financial inclusion has several benefits to financial services users, digital finance providers, governments and the economy; notwithstanding, a number of issues still persist which if addressed can make digital finance work better for individuals, businesses and governments. The digital finance issues discussed in this article are relevant for the on-going debate and country-level projects directed at greater financial inclusion via digital finance in developing and emerging economies. © 2018 The Author",Digital finance; Financial inclusion; Financial institutions; Financial risk; Financial stability; Fintech
